nama_pintu_air,lokasi,latitude,longitude,tanggal,tinggi_air,status_siaga
PS. Angke Hulu,Angke,-6.220047,106.694137,2020-04-01 04:40:00,1050,Status : Normal
PS. Sunter Hulu,Sunter,-6.31792,106.920901,2020-04-01 04:40:00,680,Status : Normal
PA. Pulo Gadung,Sunter,-6.191,106.904194,2020-04-01 04:40:00,3270,Status : Normal
Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,2020-04-01 04:40:00,1120,Status : Normal
PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,2020-04-01 04:40:00,860,Status : Normal
Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,2020-04-01 04:50:00,1430,Status : Normal
P.A. Istiqlal  ,Ciliwung,-6.168254,106.83135,2020-04-01 04:00:53,1700,Status : Normal
P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,2020-04-01 04:40:00,1720,Status : Siaga 2
P.A. Flusing Ancol,Ciliwung,-6.129859,106.831254,2020-04-01 04:40:00,1810,Status : Siaga 2
P.A. Hek,Kali Baru Timur,-6.287305,106.87063,2020-04-01 04:40:00,1840,Status : Normal
Bendung. Cibalok - Gadog,Ciliwung,-6.653417,106.869551,2020-04-01 05:10:00,150,Status : Normal
Bendung. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,2020-04-01 05:10:00,380,Status : Normal
PS. Depok,Ciliwung,-6.400514,106.832143,2020-04-01 05:10:00,1130,Status : Normal
PA. Manggarai,Ciliwung,-6.207825,106.848458,2020-04-01 05:10:00,7320,Status : Normal
PS. Krukut Hulu,Krukut,-6.3439,106.798874,2020-04-01 05:10:00,250,Status : Normal
Pompa Cideng,Cideng Siantar,-6.173271,106.806351,2020-04-01 05:10:00,60,Status : Normal
P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,2020-04-01 05:10:00,4450,Status : Normal
P.A. Marina Ancol ,Laut,-6.125585,106.830154,2020-04-01 05:10:00,1980,Status : Siaga 3
Pompa Pasar Ikan,Laut,-6.126132,106.809783,2020-04-01 05:10:00,1990,Status : Siaga 3
Pompa. Pluit,Waduk Pluit,-6.109642,106.796954,2020-04-01 05:10:00,-1920,Status : Normal
PS. Pesanggrahan,Pesanggrahan,-6.397111,106.771825,2020-04-01 05:10:00,850,Status : Normal
PS. Angke Hulu,Angke,-6.220047,106.694137,2020-04-01 05:10:00,1030,Status : Normal
PS. Sunter Hulu,Sunter,-6.31792,106.920901,2020-04-01 05:10:00,680,Status : Normal
PA. Pulo Gadung,Sunter,-6.191,106.904194,2020-04-01 05:10:00,3270,Status : Normal
Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,2020-04-01 05:10:00,1090,Status : Normal
PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,2020-04-01 05:10:00,850,Status : Normal
